prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
a photograph of an astronaut riding a horse,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,143,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
you,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,83,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
